"""","二輪車総数(台)","自動二輪車計(台)","小型二輪(台)","軽二輪(台)","原付二種(台)","原付一種(台)","小型特殊(台)","ﾐﾆｶ-等(台)"
"平成25年(2013年)","198205.0","53618.0","10450.0","11861.0","31307.0","144587.0","6779.0","1036.0"
"平成26年(2014年)","195038.0","53654.0","10583.0","12045.0","31026.0","141384.0","6872.0","1063.0"
"","","","","","","","",""
" 和歌山市","77949.0","21434.0","4149.0","4677.0","12608.0","56515.0","1072.0","291.0"
" 海 南 市","10714.0","2999.0","498.0","639.0","1862.0","7715.0","163.0","32.0"
" 橋 本 市","10569.0","3208.0","838.0","875.0","1495.0","7361.0","236.0","61.0"
" 有 田 市","7376.0","1901.0","221.0","281.0","1399.0","5475.0","125.0","24.0"
" 御 坊 市","4118.0","1065.0","217.0","240.0","608.0","3053.0","1080.0","44.0"
" 田 辺 市","19665.0","5010.0","698.0","1033.0","3279.0","14655.0","512.0","93.0"
" 新 宮 市","3659.0","992.0","287.0","347.0","358.0","2667.0","115.0","28.0"
" 紀の川市","11492.0","3391.0","822.0","763.0","1806.0","8101.0","837.0","94.0"
" 岩 出 市","7687.0","2482.0","699.0","672.0","1111.0","5205.0","156.0","37.0"
"","","","","","","","",""
" 紀美野町","2108.0","537.0","134.0","104.0","299.0","1571.0","46.0","17.0"
"","","","","","","","",""
"   かつらぎ町","3035.0","1075.0","212.0","241.0","622.0","1960.0","219.0","25.0"
" 九度山町","1269.0","441.0","58.0","68.0","315.0","828.0","69.0","7.0"
" 高 野 町","619.0","193.0","48.0","42.0","103.0","426.0","18.0","8.0"
"","","","","","","","",""
" 湯 浅 町","3397.0","904.0","144.0","163.0","597.0","2493.0","54.0","19.0"
" 広 川 町","1911.0","462.0","76.0","74.0","312.0","1449.0","37.0","15.0"
" 有田川町","6075.0","1701.0","329.0","309.0","1063.0","4374.0","226.0","37.0"
"","","","","","","","",""
" 美 浜 町","1407.0","380.0","63.0","97.0","220.0","1027.0","195.0","5.0"
" 日 高 町","1260.0","385.0","65.0","76.0","244.0","875.0","82.0","11.0"
" 由 良 町","958.0","220.0","40.0","51.0","129.0","738.0","45.0","10.0"
" 印 南 町","1490.0","344.0","64.0","81.0","199.0","1146.0","56.0","11.0"
" みなべ町","2751.0","659.0","135.0","175.0","349.0","2092.0","433.0","39.0"
" 日高川町","1767.0","437.0","74.0","107.0","256.0","1330.0","349.0","16.0"
"","","","","","","","",""
" 白 浜 町","4183.0","929.0","184.0","244.0","501.0","3254.0","186.0","52.0"
" 上富田町","2425.0","681.0","130.0","182.0","369.0","1744.0","116.0","17.0"
" すさみ町","866.0","168.0","28.0","41.0","99.0","698.0","60.0","9.0"
"","","","","","","","",""
"   那智勝浦町","1694.0","578.0","158.0","186.0","234.0","1116.0","124.0","15.0"
" 太 地 町","669.0","160.0","43.0","50.0","67.0","509.0","11.0","5.0"
" 古座川町","397.0","129.0","22.0","47.0","60.0","268.0","151.0","5.0"
" 北 山 村","53.0","13.0","0.0","5.0","8.0","40.0","2.0","1.0"
" 串 本 町","3475.0","776.0","147.0","175.0","454.0","2699.0","97.0","35.0"
"","","","","","","","",""
"不明","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
